row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,country,postal_code,market,region,product_id,category,sub-category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority
35227,ca2013162082,2013-03-15,18032013,first class,js15880,john stevenson,consumer,harlingen,texas,united states,78550.0,us,central,offar10001044,office supplies,art,boston ranger 55 pencil sharpener black,145.544,7,0.2,16.3737,18.61,medium
33221,ca2014126865,2014-12-06,08122014,second class,np18325,naresj patel,consumer,san diego,california,united states,92024.0,us,west,offpa10003039,office supplies,paper,xerox 1960,92.94,3,0.0,41.823,18.58,critical
32455,ca2013149314,2013-07-03,08072013,second class,gb14530,george bell,corporate,los angeles,california,united states,90004.0,us,west,furch10002126,furniture,chairs,hon deluxe fabric upholstered stacking chairs,195.184,1,0.2,19.5184,18.57,medium
31946,ca2013160745,2013-12-12,17122013,second class,ar10825,anthony rawles,corporate,vancouver,washington,united states,98661.0,us,west,tecph10003273,technology,phones,att tr1909w,302.376,3,0.2,22.6782,18.56,medium
33097,ca2013121034,2013-08-09,11082013,second class,jf15565,jill fjeld,consumer,dallas,texas,united states,75081.0,us,central,offpa10001994,office supplies,paper,ink jet note and greeting cards 812 x 512 card size,53.952,3,0.2,17.5344,18.55,critical
40554,ca2011168368,2011-02-12,16022011,second class,ga14725,guy armstrong,consumer,columbia,missouri,united states,65203.0,us,central,furfu10002298,furniture,furnishings,rubbermaid clustermat chairmats mat size 66 x 60 lip 20 x 11 90 degree angle,332.94,3,0.0,53.2704,18.55,medium
32963,ca2013128531,2013-11-25,27112013,second class,ns18505,neola schneider,consumer,dallas,texas,united states,75217.0,us,central,tecac10003023,technology,accessories,logitech g105 gaming keyboard,94.992,2,0.2,-2.3748,18.53,critical
38708,ca2014121125,2014-05-31,04062014,standard class,mg17890,michael granlund,home office,tigard,oregon,united states,97224.0,us,west,tecph10001619,technology,phones,lg g3,156.792,1,0.2,17.6391,18.51,high
36329,ca2013155166,2013-12-27,03012014,standard class,bb11545,brenda bowman,corporate,vineland,new jersey,united states,8360.0,us,east,furch10003968,furniture,chairs,novimex turbo task chair,212.94,3,0.0,25.5528,18.47,medium
34701,ca2012152527,2012-10-17,17102012,same day,cm12190,charlotte melton,consumer,los angeles,california,united states,90004.0,us,west,offst10003479,office supplies,storage,eldon base for stackable storage shelf platinum,77.88,2,0.0,3.894,18.46,critical
40043,ca2014128076,2014-02-03,08022014,standard class,bo11350,bill overfelt,corporate,san diego,california,united states,92105.0,us,west,furfu10000293,furniture,furnishings,eldon antistatic chair mats for low to medium pile carpets,210.58,2,0.0,12.6348,18.46,medium
33663,ca2011102295,2011-11-24,26112011,second class,eh13990,erica hackney,consumer,sacramento,california,united states,95823.0,us,west,furch10001714,furniture,chairs,global leather  oak executive chair burgundy,120.712,1,0.2,-18.1068,18.43,critical
40997,ca2014154116,2014-12-16,20122014,standard class,km16660,khloe miller,consumer,inglewood,california,united states,90301.0,us,west,tecph10000675,technology,phones,panasonic kx ts3282b corded phone,196.776,3,0.2,14.7582,18.43,high
38640,ca2011168473,2011-12-26,01012012,standard class,tb21520,tracy blumstein,consumer,new york city,new york,united states,10009.0,us,east,offst10000563,office supplies,storage,fellowes bankers box stordrawer steel plus,191.88,6,0.0,19.188,18.42,medium
40251,ca2011156790,2011-08-08,10082011,second class,vg21790,vivek gonzalez,consumer,jacksonville,florida,united states,32216.0,us,south,furbo10000468,furniture,bookcases,osullivan 2shelf heavyduty bookcases,155.456,4,0.2,-7.7728,18.41,medium
35569,us2014158505,2014-07-22,22072014,same day,sf20200,sarah foster,consumer,murray,utah,united states,84107.0,us,west,tecph10004071,technology,phones,payanywhere card reader,71.928,9,0.2,6.2937,18.4,critical
31947,ca2013160745,2013-12-12,17122013,second class,ar10825,anthony rawles,corporate,vancouver,washington,united states,98661.0,us,west,tecac10001142,technology,accessories,first data fd10 pin pad,316.0,4,0.0,31.6,18.36,medium
34719,ca2013134803,2013-05-29,04062013,standard class,cl12565,clay ludtke,consumer,los angeles,california,united states,90004.0,us,west,tecac10002217,technology,accessories,imationclip usbflash drive 8 gb,131.6,7,0.0,7.896,18.33,low
39902,us2013116365,2013-01-03,08012013,standard class,ca12310,christine abelman,corporate,san antonio,texas,united states,78207.0,us,central,tecph10002890,technology,phones,att 17929 lendline telephone,180.96,5,0.2,13.572,18.31,medium
40403,ca2012163181,2012-11-07,12112012,standard class,ab10105,adrian barton,consumer,houston,texas,united states,77041.0,us,central,tecma10001016,technology,machines,canon pc170 desktop personal copier,287.91,3,0.4,33.5895,18.31,medium
35933,ca2014168228,2014-04-28,30042014,first class,ap10915,arthur prichep,consumer,los angeles,california,united states,90045.0,us,west,offar10003373,office supplies,art,boston school pro electric pencil sharpener 1670,123.92,4,0.0,33.4584,18.3,high
35825,ca2014152856,2014-09-09,11092014,second class,rs19765,roland schwarz,corporate,marion,ohio,united states,43302.0,us,east,tecac10004864,technology,accessories,memorex micro travel drive 32 gb,116.832,4,0.2,33.5892,18.22,high
39542,us2011143581,2011-08-19,23082011,standard class,bs11365,bill shonely,corporate,columbus,georgia,united states,31907.0,us,south,offst10000991,office supplies,storage,space solutions hd industrial steel shelving,344.91,3,0.0,10.3473,18.21,medium
31445,ca2013114489,2013-12-06,10122013,standard class,je16165,justin ellison,corporate,franklin,wisconsin,united states,53132.0,us,central,tecph10001448,technology,phones,anker astro 15000mah usb portable charger,149.97,3,0.0,5.9988,18.15,high
31487,ca2012102281,2012-10-12,14102012,first class,mp17470,mark packer,home office,new york city,new york,united states,10035.0,us,east,tecph10001552,technology,phones,i needs 3d hello kitty hybrid silicone case cover for htc one x 4g with 3d hello kitty stylus pen greenpink,71.76,6,0.0,20.0928,18.15,critical
35849,us2011106334,2011-12-27,02012012,standard class,jf15490,jeremy farry,consumer,san francisco,california,united states,94122.0,us,west,furch10004886,furniture,chairs,bevis steel folding chairs,230.28,3,0.2,23.028,18.13,medium
41191,us2013115441,2013-07-26,29072013,second class,sh19975,sally hughsby,corporate,milwaukee,wisconsin,united states,53209.0,us,central,furfu10001756,furniture,furnishings,eldon expressions desk accessory wood photo frame mahogany,95.2,5,0.0,27.608,18.13,critical
33091,ca2013140774,2013-09-06,11092013,standard class,be11455,brad eason,home office,olathe,kansas,united states,66062.0,us,central,offar10004022,office supplies,art,panasonic kp380bk classic electric pencil sharpener,107.94,3,0.0,26.985,18.05,high
37985,ca2014140494,2014-03-11,16032014,second class,cm11815,candace mcmahon,corporate,san francisco,california,united states,94109.0,us,west,tecac10004568,technology,accessories,maxelllto ultrium  800 gb,111.96,4,0.0,21.2724,18.04,high
39308,us2012136427,2012-06-20,23062012,first class,jm16195,justin mackendrick,consumer,aurora,colorado,united states,80013.0,us,west,tecph10002070,technology,phones,griffin gc36547 powerjolt se lightning charger,125.944,7,0.2,15.743,18.02,high
35315,ca2012165624,2012-08-23,28082012,standard class,fh14350,fred harton,consumer,atlanta,georgia,united states,30318.0,us,south,tecac10004568,technology,accessories,maxelllto ultrium  800 gb,251.91,9,0.0,47.8629,17.94,medium
37641,ca2012146255,2012-03-07,10032012,first class,em14140,eugene moren,home office,newark,delaware,united states,19711.0,us,east,offbi10001765,office supplies,binders,wilson jones heavyduty casebound ring binders with metal hinges,69.28,2,0.0,33.2544,17.94,high
37873,ca2014123085,2014-03-04,09032014,standard class,ej13720,ed jacobs,consumer,los angeles,california,united states,90008.0,us,west,furch10003968,furniture,chairs,novimex turbo task chair,170.352,3,0.2,-17.0352,17.94,medium
38015,ca2013134789,2013-04-09,16042013,standard class,ck12325,christine kargatis,home office,hot springs,arkansas,united states,71901.0,us,south,furfu10003268,furniture,furnishings,eldon radial chair mat for low to medium pile carpets,159.92,4,0.0,31.984,17.93,low
